"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",59641488,,
"001272","Torino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",857910,,
"002158","Vercelli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",46362,,
"023091","Verona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",259087,,
"024116","Vicenza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",109855,,
"025006","Belluno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",35675,,
"026086","Treviso","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",85456,,
"027042","Venezia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",258685,,
"028060","Padova","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",210077,,
"029041","Rovigo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",49985,,
"030129","Udine","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",100170,,
"031007","Gorizia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",33569,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",201613,,
"093033","Pordenone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",51733,,
"008031","Imperia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",41969,,
"009056","Savona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",59439,,
"010025","Genova","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",565752,,
"011015","La Spezia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",92550,,
"033032","Piacenza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",104260,,
"034027","Parma","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",200455,,
"035033","Reggio nell'Emilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",171084,,
"036023","Modena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",189013,,
"037006","Bologna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",395416,,
"038008","Ferrara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",132899,,
"039014","Ravenna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",158247,,
"040012","Forlì","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",118292,,
"099014","Rimini","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",149335,,
"045010","Massa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",67579,,
"046017","Lucca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",88734,,
"047014","Pistoia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",90908,,
"048017","Firenze","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",366927,,
"049009","Livorno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",157017,,
"050026","Pisa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",90036,,
"051002","Arezzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",98259,,
"052032","Siena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",54308,,
"053011","Grosseto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",81912,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",194223,,
"054039","Perugia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",164880,,
"055032","Terni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",110003,,
"041044","Pesaro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",95152,,
"042002","Ancona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",99077,,
"043023","Macerata","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",41047,,
"044007","Ascoli Piceno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",47404,,
"109006","Fermo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",36812,,
"056059","Viterbo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",65911,,
"057059","Rieti","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",46604,,
"058091","Roma","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2808293,,
"059011","Latina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",127037,,
"066049","L'Aquila","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",70019,,
"067041","Teramo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",53998,,
"068028","Pescara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",119862,,
"069022","Chieti","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",50287,,
"094023","Isernia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",21267,,
"061022","Caserta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",73984,,
"062008","Benevento","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",58338,,
"063049","Napoli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",948850,,
"065116","Salerno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",131556,,
"071024","Foggia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",149673,,
"072006","Bari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",315284,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",191050,,
"075035","Lecce","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",93865,,
"110001","Andria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",98414,,
"110002","Barletta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",93275,,
"110009","Trani","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",55405,,
"077014","Matera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",60530,,
"078045","Cosenza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",65623,,
"080063","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",174885,,
"102047","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",31451,,
"018003","Albonese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",526,,
"014002","Albosaggia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3001,,
"005002","Albugnano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",500,,
"018004","Albuzzano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3585,,
"081001","Alcamo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",45025,,
"083001","Alcara li Fusi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1822,,
"022003","Aldeno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3170,,
"021001","Aldino/Aldein","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1678,,
"095004","Ales","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1361,,
"078007","Alessandria del Carretto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",384,,
"084002","Alessandria della Rocca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2675,,
"075002","Alessano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6253,,
"075003","Alezio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5676,,
"065004","Alfano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",952,,
"066003","Alfedena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",922,,
"017004","Alfianello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2406,,
"006004","Alfiano Natta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",744,,
"039001","Alfonsine","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",11707,,
"090003","Alghero","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",42580,,
"016248","Algua","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",659,,
"083002","Alì","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",704,,
"083003","Alì Terme","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2413,,
"082001","Alia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3469,,
"077002","Aliano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",904,,
"006005","Alice Bel Colle","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",730,,
"061002","Alife","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",7438,,
"082002","Alimena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1909,,
"082003","Aliminusa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1129,,
"095005","Allai","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",350,,
"025003","Alleghe","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1168,,
"007001","Allein","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",210,,
"055002","Allerona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1724,,
"075004","Alliste","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6533,,
"058004","Allumiere","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3879,,
"016005","Almè","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5533,,
"016006","Almenno San Bartolomeo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6353,,
"016007","Almenno San Salvatore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5660,,
"001006","Almese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6426,,
"024003","Alonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1594,,
"001007","Alpette","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",248,,
"001008","Alpignano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",16945,,
"033002","Alseno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4662,,
"072004","Altamura","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",69999,,
"009005","Altare","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1994,,
"064002","Altavilla Irpina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4092,,
"082004","Altavilla Milicia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",8305,,
"065005","Altavilla Silentina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6996,,
"024004","Altavilla Vicentina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",11886,,
"109001","Altidona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3497,,
"069001","Altino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3093,,
"024005","Altissimo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2148,,
"026001","Altivole","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6996,,
"004005","Alto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",137,,
"078009","Altomonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4204,,
"046001","Altopascio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",15575,,
"055003","Alviano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1433,,
"061003","Alvignano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4698,,
"016008","Alzano Lombardo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",13532,,
"006008","Alzano Scrivia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",363,,
"013007","Alzate Brianza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4847,,
"065006","Amalfi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4901,,
"109002","Amandola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3443,,
"078010","Amantea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",13941,,
"030002","Amaro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",850,,
"079003","Amaroni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1743,,
"060005","Amaseno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4252,,
"079004","Amato","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",784,,
"057002","Amatrice","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2358,,
"016009","Ambivere","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2379,,
"011001","Ameglia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4335,,
"055004","Amelia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",11482,,
"078011","Amendolara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2785,,
"003002","Ameno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",953,,
"062002","Amorosi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2709,,
"030003","Ampezzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",962,,
"063004","Anacapri","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6960,,
"060006","Anagni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",21071,,
"067002","Ancarano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1843,,
"079005","Andali","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",688,,
"022005","Andalo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1129,,
"014003","Andalo Valtellino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",587,,
"001009","Andezeno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2041,,
"009006","Andora","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",7327,,
"096002","Andorno Micca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3065,,
"075005","Andrano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4666,,
"001010","Andrate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",492,,
"093001","Andreis","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",247,,
"064003","Andretta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1763,,
"021002","Andriano/Andrian","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1042,,
"017005","Anfo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",464,,
"012003","Angera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5428,,
"051001","Anghiari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5484,,
"023003","Angiari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2316,,
"065007","Angri","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",33902,,
