Anno,Tipo variazione,Codice Regione,Codice Unità territoriale sovracomunale,Codice Comune formato alfanumerico,Denominazione Comune,Codice Regione associato alla variazione,Codice Unità territoriale sovracomunale associato alla variazione,Codice del Comune associato alla variazione o nuovo codice Istat del Comune ,Denominazione Comune associata alla variazione o nuova denominazione,Provvedimento e Documento,Contenuto del provvedimento,Data decorrenza validità amministrativa,Flag_note
1991,CD,2,7,7064,Saint-Rhémy,2,7,7064,Saint-Rhémy-en-Bosses,Legge Regionale 30 luglio 1991,,,
1991,CD,8,35,35018,Ciano d'Enza,8,35,35018,Canossa,Legge Regionale 30 maggio 1991,,,
1991,AQ,9,47,47021,Uzzano,9,47,47012,Pescia,Legge Regionale 22 aprile 1991,,,
1991,CD,14,70,70071,San Polomatese,14,70,70071,San Polo Matese,Decreto Presidente Giunta Regionale 13 marzo 1991,,,
1991,CECS,20,92,92009,Cagliari,20,92,92109,Monserrato,Legge Regionale 18 novembre 1991 n. 36; B.U.R. n. 46 del 25 novembre 1991,Modificata la circoscrizione territoriale a seguito del distacco della frazione Monserrato eretta in Comune autonomo con denominazione Monserrato,,
1991,CS,20,92,92109,Monserrato,20,92,92009,Cagliari,Legge Regionale 18 novembre 1991 n. 36; B.U.R. n. 46 del 25 novembre 1991,Nuovo Comune costituito con la frazione Monserrato staccata dal Comune di Cagliari,,
1991,CD,20,95,95037,Ollastra Simaxis,20,95,95037,Ollastra,Legge Regionale 18 giugno 1991,,,
1992,AP,1,2,2001,Ailoche,1,96,96001,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2005,Andorno Micca,1,96,96002,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2010,Benna,1,96,96003,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2012,Biella,1,96,96004,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2013,Bioglio,1,96,96005,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2018,Borriana,1,96,96006,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2020,Brusnengo,1,96,96007,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2022,Callabiana,1,96,96008,,Decreto Legislativo 6 marzo 1992,,,
