Anno;Tipo variazione;Codice Regione;Codice Unità territoriale sovracomunale;Codice Comune formato alfanumerico;Denominazione Comune;Codice Regione associato alla variazione;Codice Unità territoriale sovracomunale associato alla variazione;Codice del Comune associato alla variazione o nuovo codice Istat del Comune ;Denominazione Comune associata alla variazione o nuova denominazione;Provvedimento e Documento;Contenuto del provvedimento;Data decorrenza validità amministrativa;Flag_note
1991;CD;02;007;007064;Saint-Rhémy;02;007;007064;Saint-Rhémy-en-Bosses;"Legge Regionale 30 luglio 1991, n.27; B.U.R. n.35 del 6 agosto 1991";Assunta la nuova denominazione di Saint-Rhémy-en-Bosses;;
1991;CD;08;035;035018;Ciano d'Enza;08;035;035018;Canossa;"Legge Regionale 30 maggio 1991, n.14; B.U.R. n.37 del 3 giugno 1991";Assunta la nuova denominazione di Canossa;;
1991;AQ;09;047;047021;Uzzano;09;047;047012;Pescia;"Legge Regionale 22 aprile 1991, n.13; B.U.R. n.26 del 30 aprile 1991";Modificata la circoscrizione territoriale a seguito di aggregazione di territorio staccato dal Comune di Pescia;;
1991;CD;14;070;070071;San Polomatese;14;070;070071;San Polo Matese;"Decreto Presidente Giunta Regionale 13 marzo 1991, n. 469; B.U.R. n. 7 del 16 aprile 1991 ";Assunta la nuova denominazione di San Polo Matese;;
1991;CECS;20;092;092009;Cagliari;20;092;092109;Monserrato;"Legge Regionale 18 novembre 1991 n. 36; B.U.R. n. 46 del 25 novembre 1991";Modificata la circoscrizione territoriale a seguito del distacco della frazione Monserrato eretta in Comune autonomo con denominazione Monserrato;;
1991;CS;20;092;092109;Monserrato;20;092;092009;Cagliari;"Legge Regionale 18 novembre 1991 n. 36; B.U.R. n. 46 del 25 novembre 1991";Nuovo Comune costituito con la frazione Monserrato staccata dal Comune di Cagliari;;
1991;CD;20;095;095037;Ollastra Simaxis;20;095;095037;Ollastra;"Legge Regionale 18 giugno 1991, n. 18; B.U.R. n. 24 del 25 giugno 1991";Assunta la nuova denominazione di Ollastra;;
1992;AP;01;002;002001;Ailoche;01;096;096001;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella ;;
1992;AP;01;002;002005;Andorno Micca;01;096;096002;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002010;Benna;01;096;096003;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002012;Biella;01;096;096004;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002013;Bioglio;01;096;096005;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002018;Borriana;01;096;096006;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002020;Brusnengo;01;096;096007;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002022;Callabiana;01;096;096008;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002023;Camandona;01;096;096009;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002024;Camburzano;01;096;096010;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002026;Campiglia Cervo;01;096;096011;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002027;Candelo;01;096;096012;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002028;Caprile;01;096;096013;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002034;Casapinta;01;096;096014;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002036;Castelletto Cervo;01;096;096015;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002037;Cavaglià;01;096;096016;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002039;Cerreto Castello;01;096;096017;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002040;Cerrione;01;096;096018;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002044;Coggiola;01;096;096019;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002046;Cossato;01;096;096020;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002050;Crevacuore;01;096;096021;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002051;Crosa;01;096;096022;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002053;Curino;01;096;096023;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002055;Donato;01;096;096024;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002056;Dorzano;01;096;096025;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
